start_lat,start_lon,end_lat,end_lon
1.36499,103.77977,1.36358,103.77998
1.36358,103.77998,1.36349,103.78
1.36349,103.78,1.36284,103.78014
1.36284,103.78014,1.362,103.7804
1.362,103.7804,1.3607,103.78091
1.3607,103.78091,1.35957,103.78143
1.35957,103.78143,1.35841,103.78214
1.35841,103.78214,1.3572,103.78308
1.3572,103.78308,1.35614,103.78412
1.35614,103.78412,1.35509,103.78541
1.35509,103.78541,1.35323,103.78828
1.35323,103.78828,1.35273,103.78901
1.35273,103.78901,1.35219,103.78966
1.35219,103.78966,1.35177,103.79007
1.35177,103.79007,1.35125,103.79048
1.35125,103.79048,1.35066,103.79098
1.35066,103.79098,1.35037,103.79117
1.35037,103.79117,1.35012,103.7914
1.35012,103.7914,1.34992,103.79167
1.34992,103.79167,1.3498,103.79188
1.3498,103.79188,1.34974,103.79213
1.34974,103.79213,1.34971,103.79243
1.34971,103.79243,1.34963,103.79369
1.34963,103.79369,1.34954,103.79458
1.34954,103.79458,1.34936,103.79541
1.34936,103.79541,1.34908,103.79624
1.34908,103.79624,1.34866,103.79707
1.34866,103.79707,1.34824,103.79766
1.34824,103.79766,1.34791,103.79806
1.34791,103.79806,1.34749,103.79849
1.34749,103.79849,1.34635,103.7996
1.34635,103.7996,1.34536,103.80049
1.34536,103.80049,1.34447,103.80136
1.34447,103.80136,1.34153,103.80417
1.34153,103.80417,1.34097,103.80471
1.34097,103.80471,1.34006,103.80558
1.34006,103.80558,1.3388,103.80696
1.3388,103.80696,1.33812,103.80771
1.33812,103.80771,1.3348,103.81138
1.3348,103.81138,1.33452,103.8118
1.33452,103.8118,1.33423,103.81237
1.33423,103.81237,1.33405,103.81285
1.33405,103.81285,1.33368,103.81421
1.33368,103.81421,1.33362,103.81436
1.33362,103.81436,1.33337,103.81495
1.33337,103.81495,1.33269,103.81623
1.33269,103.81623,1.33128,103.81884
1.33128,103.81884,1.33057,103.82012
1.33057,103.82012,1.33023,103.82083
1.33023,103.82083,1.32947,103.8227
1.32947,103.8227,1.32916,103.8234
1.32916,103.8234,1.32901,103.82366
1.32901,103.82366,1.32873,103.82406
